rank,app_id,title
1,com.daerigame.rellion,"렐리온: NPC들의 생존기"
2,jp.pokemon.pokemonchampions,"Pokémon Champions"
3,com.noriworks.gm,"고스톱M : 데이터 필요없는 맞고 게임"
4,com.mocacorp.tile,"타일 킹 - 트리플 매치"
5,com.oakever.meowdoku,"Meowdoku: 두뇌 퍼즐 게임"
6,com.ecffri.arrows,"애로우즈 – 퍼즐 이스케이프 (Arrows)"
7,com.mocacorp.sudoku,"스도쿠"
8,com.dlw.kr.google,"시티 데몬헌터즈: 각성자들"
9,com.naddic.bbhero,"별별히어로 : RPG 맛집"
10,com.noriworks.kg,"국민 고스톱"
11,com.oakever.arrows,"Amaze GO! - 화살표 퍼즐"
12,com.grandgames.magicsort,"매직 정렬!  (Magic Sort !)"
13,com.netflix.NGP.TocaHairSalon4,"Toca Boca Hair Salon 4 NETFLIX"
14,com.highbrow.games.dvo,"드래곤빌리지3"
15,color.number.paint.pixle.art.sort.jigsaw,"Jewel Coloring"
16,jp.co.goodroid.hyper.busflow,"Bus Traffic Fever!"
17,com.mergegames.gossipharbor,"가십하버: 합성 & 스토리 게임"
18,jp.co.ponos.battlecatskr,"냥코 대전쟁"
19,com.soccer.score.star,"사커 슈퍼스타 (Soccer Superstar)"
20,com.block.juggle,"블록 블라스트 (Block Blast)"
21,com.roblox.client,"로블록스 (Roblox)"
22,com.riftsky.mhg.kr.gp,"더 코지 플로리스트"
23,com.nexon.fmk,"FC 모바일"
24,com.mobirix.ldwm,"수박 만들기 2048"
25,com.xman.kr.gp,"X 클래시"
26,beats.color.sing.star.rush,"피아노타일9: 리듬게임 음악·노래·음악·케이팝"
27,com.tocaboca.tocahairsalon4,"Toca Boca Hair Salon 4"
28,com.puzzlegames.puzzlebrickslegend,"컬러블록: 콤보 블라스트(Color Block)"
29,com.fatmerge.global,"테이스티 트레블: 합성 게임"
30,com.jsjskr.google,"토이 삼국"
31,com.chirpysort.game.android,"Chirpy Sort: Bird Color Puzzle"
32,com.oakever.tiletrip,"Tile Explorer - 트리플 매치"
33,com.secretlovetile.app.game,"Secret Love Tile: Match"
34,com.funplus.ts.global,"타일 서바이벌"
35,com.vitastudio.mahjong,"비타 마작(Vita Mahjong)"
36,com.run.tower.defense,"킹샷:Kingshot"
37,com.phs.global,"라스트 어사일럼: 페스트"
38,com.mymskr.gp,"호드 워:어벤저의 소환"
39,com.percent.aos.cooptd,"협타디: 협동 타워 디펜스"
40,com.gof.global,"WOS: 화이트아웃 서바이벌"
41,com.spheresort.yhk,"로맨틱 스피어 볼 분류"
42,com.nianticlabs.pokemongo,"Pokémon GO"
43,com.superbox.aos.suikagame,"멜론 메이커 : 과일 파티"
