rank,app_id,title
1,com.daerigame.rellion,"렐리온: NPC들의 생존기"
2,jp.pokemon.pokemonchampions,"Pokémon Champions"
3,com.noriworks.gm,"고스톱M : 데이터 필요없는 맞고 게임"
4,com.mocacorp.tile,"타일 킹 - 트리플 매치"
5,com.oakever.meowdoku,"Meowdoku: 두뇌 퍼즐 게임"
6,com.ecffri.arrows,"애로우즈 – 퍼즐 이스케이프 (Arrows)"
7,com.mocacorp.sudoku,"스도쿠"
8,com.oakever.arrows,"Amaze GO! - 화살표 퍼즐"
9,com.naddic.bbhero,"별별히어로 : RPG 맛집"
10,com.dlw.kr.google,"시티 데몬헌터즈: 각성자들"
11,com.grandgames.magicsort,"매직 정렬!  (Magic Sort !)"
12,com.noriworks.kg,"국민 고스톱"
13,com.nexon.fmk,"FC 모바일"
14,com.netflix.NGP.TocaHairSalon4,"Toca Boca Hair Salon 4 NETFLIX"
15,com.k8games.dreamfurniggl,"꿈꾸는 가구점: 합성 & 스토리 게임"
16,com.block.juggle,"블록 블라스트 (Block Blast)"
17,com.highbrow.games.dvo,"드래곤빌리지3"
18,jp.co.ponos.battlecatskr,"냥코 대전쟁"
19,com.puzzlegames.puzzlebrickslegend,"컬러블록: 콤보 블라스트(Color Block)"
20,color.number.paint.pixle.art.sort.jigsaw,"Jewel Coloring"
21,com.mergegames.gossipharbor,"가십하버: 합성 & 스토리 게임"
22,jp.co.goodroid.hyper.busflow,"Bus Traffic Fever!"
23,com.riftsky.mhg.kr.gp,"더 코지 플로리스트"
24,com.tocaboca.tocahairsalon4,"Toca Boca Hair Salon 4"
25,com.jsjskr.google,"토이 삼국"
26,com.roblox.client,"로블록스 (Roblox)"
27,com.phs.global,"라스트 어사일럼: 페스트"
28,com.run.tower.defense,"킹샷:Kingshot"
29,com.leap.searchit,"Search It – 숨은그림찾기"
30,com.nianticlabs.pokemongo,"Pokémon GO"
31,com.fatmerge.global,"테이스티 트레블: 합성 게임"
32,com.soccer.score.star,"사커 슈퍼스타 (Soccer Superstar)"
33,com.xman.kr.gp,"X 클래시"
34,com.oakever.tiletrip,"Tile Explorer - 트리플 매치"
35,beats.color.sing.star.rush,"피아노타일9: 리듬게임 음악·노래·음악·케이팝"
36,com.vitastudio.mahjong,"비타 마작(Vita Mahjong)"
37,com.mobirix.ldwm,"수박 만들기 2048"
38,com.nexon.ma,"메이플 키우기"
39,com.chirpysort.game.android,"Chirpy Sort: Bird Color Puzzle"
40,com.funplus.ts.global,"타일 서바이벌"
41,com.nebula.mahjongtile,"마작 블래스트 (Mahjong Blast)"
42,com.superbox.aos.suikagame,"멜론 메이커 : 과일 파티"
43,com.ujoygp.flower,"오늘의 꽃"
